split,model,missingness,ADE,FDE,n,stop,go,turn_left,turn_right,action,action_accuracy,stop_precision,stop_recall,true_stop,pred_stop,plot
hotel,missing_lstm,complete,0.3769834370491598,0.7388999853018631,1197,142,881,142,32,go,0.9273182957393483,0.823943661971831,0.8666666666666667,135,142,
hotel,missing_lstm,random_0.1,0.3815367195689887,0.7421248082628624,1197,142,880,143,32,go,0.9314954051796157,0.8450704225352113,0.8888888888888888,135,142,
hotel,missing_lstm,random_0.3,0.40167984229480613,0.7563145501273019,1197,136,890,141,30,go,0.924812030075188,0.8308823529411765,0.837037037037037,135,136,
hotel,missing_lstm,random_0.5,0.5126772806260023,0.8755720271203751,1197,120,894,150,33,go,0.8939014202172096,0.8583333333333333,0.762962962962963,135,120,
hotel,missing_lstm,contiguous,0.3769834370491598,0.7388999853018631,1197,142,881,142,32,go,0.9273182957393483,0.823943661971831,0.8666666666666667,135,142,
hotel,missing_lstm,partial,0.5349232324880665,0.8857662209691659,1197,135,887,142,33,go,0.9014202172096909,0.7925925925925926,0.7925925925925926,135,135,
hotel,missing_transformer,complete,0.47957387036249455,1.0080547676349343,1197,138,926,102,31,go,0.9039264828738512,0.855072463768116,0.8740740740740741,135,138,
hotel,missing_transformer,random_0.1,0.4785028228484897,0.9991827311870348,1197,138,922,108,29,go,0.9030910609857978,0.8405797101449275,0.8592592592592593,135,138,
hotel,missing_transformer,random_0.3,0.48899353177923904,0.9991263901081898,1197,135,927,103,32,go,0.8947368421052632,0.8222222222222222,0.8222222222222222,135,135,
hotel,missing_transformer,random_0.5,0.5598837575418509,1.068100707373623,1197,132,930,104,31,go,0.8872180451127819,0.8560606060606061,0.837037037037037,135,132,
hotel,missing_transformer,contiguous,0.47957387036249455,1.0080547676349343,1197,138,926,102,31,go,0.9039264828738512,0.855072463768116,0.8740740740740741,135,138,
hotel,missing_transformer,partial,0.6808903877099753,1.261524542630864,1197,132,938,95,32,go,0.8763575605680869,0.8257575757575758,0.8074074074074075,135,132,
univ,constant_velocity,complete,0.524189832265996,1.1650966542939127,24334,120,20348,3866,0,go,0.9696309690145476,0.6166666666666667,0.5736434108527132,129,120,
univ,constant_velocity,random_0.1,0.5409780505493809,1.1792763431138664,24334,118,20354,3862,0,go,0.9687268841949536,0.6186440677966102,0.5658914728682171,129,118,
univ,constant_velocity,random_0.3,0.5921782718900491,1.217960602884237,24334,114,20343,3877,0,go,0.9655214925618476,0.5701754385964912,0.5038759689922481,129,114,
univ,constant_velocity,random_0.5,0.6989778719099642,1.3170428191801316,24334,107,20379,3848,0,go,0.9612065422865127,0.4766355140186916,0.3953488372093023,129,107,
univ,constant_velocity,contiguous,0.524189832265996,1.1650966542939127,24334,120,20348,3866,0,go,0.9696309690145476,0.6166666666666667,0.5736434108527132,129,120,
univ,constant_velocity,partial,0.7933196746559359,1.3513662564075501,24334,70,20307,3957,0,go,0.9537272951425988,0.4714285714285714,0.2558139534883721,129,70,
univ,vanilla_lstm,complete,1.907165229002099,2.544409197731046,24334,28,21344,2962,0,go,0.9242623489767403,0.35714285714285715,0.07751937984496124,129,28,
univ,vanilla_lstm,random_0.1,1.9158682544337036,2.554794362481563,24334,29,21339,2966,0,go,0.9234815484507274,0.3448275862068966,0.07751937984496124,129,29,
univ,vanilla_lstm,random_0.3,1.949243342934241,2.5967693612600415,24334,35,21337,2962,0,go,0.9212213364017424,0.2857142857142857,0.07751937984496124,129,35,
univ,vanilla_lstm,random_0.5,2.0250165696856204,2.696079019180621,24334,28,21303,3003,0,go,0.9186734610010685,0.32142857142857145,0.06976744186046512,129,28,
univ,vanilla_lstm,contiguous,1.907165229002099,2.544409197731046,24334,28,21344,2962,0,go,0.9242623489767403,0.35714285714285715,0.07751937984496124,129,28,
univ,vanilla_lstm,partial,2.0725642966981135,2.797063873387739,24334,17,21345,2972,0,go,0.9210980521081614,0.47058823529411764,0.06201550387596899,129,17,
univ,missing_lstm,complete,0.5840380808669656,1.1945164953563994,24334,82,20681,3567,4,go,0.9597682255280677,0.5487804878048781,0.3488372093023256,129,82,
univ,missing_lstm,random_0.1,0.6017144729051161,1.2170964412135832,24334,81,20686,3563,4,go,0.9586997616503657,0.5432098765432098,0.34108527131782945,129,81,
univ,missing_lstm,random_0.3,0.6435439968359954,1.2709708843997778,24334,74,20717,3540,3,go,0.9572203501273938,0.6081081081081081,0.3488372093023256,129,74,
univ,missing_lstm,random_0.5,0.736466104868474,1.381782076730522,24334,77,20646,3607,4,go,0.9508095668611819,0.5064935064935064,0.3023255813953488,129,77,
univ,missing_lstm,contiguous,0.5840380808669656,1.1945164953563994,24334,82,20681,3567,4,go,0.9597682255280677,0.5487804878048781,0.3488372093023256,129,82,
univ,missing_lstm,partial,0.7761727379353444,1.419691571705714,24334,97,20465,3762,10,go,0.948878112928413,0.4948453608247423,0.37209302325581395,129,97,
univ,missing_transformer,complete,0.5399330791024416,1.1786604821559505,24334,58,20810,3466,0,go,0.9631379962192816,0.6379310344827587,0.2868217054263566,129,58,
univ,missing_transformer,random_0.1,0.5588594385540416,1.2051854884505928,24334,57,20822,3455,0,go,0.9618229637544177,0.631578947368421,0.27906976744186046,129,57,
univ,missing_transformer,random_0.3,0.6087604774546582,1.2666027226326175,24334,54,20849,3431,0,go,0.9602202679378647,0.6851851851851852,0.2868217054263566,129,54,
univ,missing_transformer,random_0.5,0.7097247829078266,1.3816459927669025,24334,65,20875,3394,0,go,0.9541382427878689,0.5846153846153846,0.29457364341085274,129,65,
univ,missing_transformer,contiguous,0.5399330791024416,1.1786604821559505,24334,58,20810,3466,0,go,0.9631379962192816,0.6379310344827587,0.2868217054263566,129,58,
univ,missing_transformer,partial,0.7564161308810912,1.4231217694652887,24334,53,20841,3440,0,go,0.9509328511547629,0.6226415094339622,0.2558139534883721,129,53,
